sample	isolate	collection_date	country	province	species
Reference	Wuhan-Hu-1	2019-12-XX	China	Hubei	SARS-CoV-2
OL674081	Rs7952	2015-05-29	China	Yunnan, Puer	Severe acute respiratory syndrome-related coronavirus
OL674080	Rs7931	2015-05-29	China	Yunnan, Puer	Severe acute respiratory syndrome-related coronavirus
OL674079	Rs7924	2015-05-29	China	Yunnan, Puer	Severe acute respiratory syndrome-related coronavirus
OL674078	Rs7921	2015-05-29	China	Yunnan, Puer	Severe acute respiratory syndrome-related coronavirus
OL674077	Ra7909	2015-05-29	China	Yunnan, Puer	Severe acute respiratory syndrome-related coronavirus
OL674076	Rs7907	2015-05-29	China	Yunnan, Puer	Severe acute respiratory syndrome-related coronavirus
OL674075	Rs7905	2015-05-29	China	Yunnan, Puer	Severe acute respiratory syndrome-related coronavirus
OL674074	Rs7896	2015-05-29	China	Yunnan, Puer	Severe acute respiratory syndrome-related coronavirus
MN996532	RaTG13	2013-07-24	China	NA	Bat coronavirus RaTG13
MG772934	bat-SL-CoVZXC21	2015-07-XX	China	NA	Bat SARS-like coronavirus
MG772933	bat-SL-CoVZC45	2017-02-XX	China	NA	Bat SARS-like coronavirus
MT782115	icHKU3-SRBD-MA	2008-12-16	USA	NA	Bat SARS coronavirus HKU3
MT782114	icHKU3-SRBD	2008-12-16	USA	NA	Bat SARS coronavirus HKU3
JX163928	Tor2/FP1-10895	2010-02-05	USA	NA	SARS coronavirus Tor2
JX163927	Tor2/FP1-10851	2010-02-05	USA	NA	SARS coronavirus Tor2
JX163926	Tor2/FP1-10912	2010-02-10	USA	NA	SARS coronavirus Tor2
JX163925	Tor2/FP1-10895	2010-02-05	USA	NA	SARS coronavirus Tor2
JX163924	Tor2/FP1-10851	2010-02-05	USA	NA	SARS coronavirus Tor2
JX163923	Tor2/FP1-10912	2010-02-10	USA	NA	SARS coronavirus Tor2
KU973692	F46	2012-XX-XX	China	NA	Severe acute respiratory syndrome-related coronavirus
KF294457	Longquan-140	2012-XX-XX	China	NA	Bat SARS-like coronavirus
KF294456	Jiyuan-331	2012-XX-XX	China	NA	Bat SARS-like coronavirus
KF294455	Anlong-111	2012-XX-XX	China	NA	Bat SARS-like coronavirus
MK062184	icSARS-C7-MA	2017-06-01	USA	NA	SARS coronavirus Urbani
MK062183	icSARS-C7	2017-05-31	USA	NA	SARS coronavirus Urbani
MK062182	icSARS-C3-MA	2017-05-30	USA	NA	SARS coronavirus Urbani
MK062181	icSARS-C3	2017-05-29	USA	NA	SARS coronavirus Urbani
MK062180	icSARS-MA	28-May-2017	USA	NA	SARS coronavirus Urbani
MK062179	icSARS	27-May-2017	USA	NA	SARS coronavirus Urbani
KY417152	Rs9401	16-Oct-2015	China	NA	Bat SARS-like coronavirus
KY417151	Rs7327	24-Oct-2014	China	NA	Bat SARS-like coronavirus
KY417150	Rs4874	21-Jul-2013	China	NA	Bat SARS-like coronavirus
KY417149	Rs4255	17-Apr-2013	China	NA	Bat SARS-like coronavirus
KY417148	Rs4247	17-Apr-2013	China	NA	Bat SARS-like coronavirus
KY417147	Rs4237	17-Apr-2013	China	NA	Bat SARS-like coronavirus
KY417146	Rs4231	17-Apr-2013	China	NA	Bat SARS-like coronavirus
KY417145	Rf4092	18-Sep-2012	China	NA	Bat SARS-like coronavirus
KY417144	Rs4084	18-Sep-2012	China	NA	Bat SARS-like coronavirus
KY417143	Rs4081	18-Sep-2012	China	NA	Bat SARS-like coronavirus
KY417142	As6526	12-May-2014	China	NA	Bat SARS-like coronavirus
KJ473816	BtRs-YN2013	2013-XX-XX	China	NA	BtRs-BetaCoV/YN2013
KJ473815	BtRs-GX2013	2013-XX-XX	China	NA	BtRs-BetaCoV/GX2013
KJ473814	BtRs-HuB2013	2013-XX-XX	China	NA	BtRs-BetaCoV/HuB2013
KJ473813	BtRf-SX2013	2013-XX-XX	China	NA	BtRf-BetaCoV/SX2013
KJ473812	BtRf-HeB2013	2013-XX-XX	China	NA	BtRf-BetaCoV/HeB2013
KJ473811	BtRf-JL2012	2012-XX-XX	China	NA	BtRf-BetaCoV/JL2012
JX993988	Cp/Yunnan2011	2011-XX-XX	China	NA	Bat coronavirus Cp/Yunnan2011
JX993987	Rp/Shaanxi2011	2011-09-XX	China	NA	Bat coronavirus Rp/Shaanxi2011
KP886809	YNLF_34C	23-May-2013	China	NA	Bat SARS-like coronavirus YNLF_34C
KP886808	YNLF_31C	23-May-2013	China	NA	Bat SARS-like coronavirus YNLF_31C
